title,url,text_for_llm,occ_relevant,occ_relevant_reasoning,gwa,gwa_reasoning,iwa,iwa_reasoning,dwa,dwa_reasoning,task,task_reasoning,deployability,deployability_reasoning,workflow_auto,workflow_auto_reasoning
Amadeus MCP Server,https://mcp.so/server/amadeus-mcp/ben4mn,Description: MCP server integrating Amadeus flight search capabilities with Claude Desktop Use cases: Searching for flights between two IATA airport codes. Integrating flight search capabilities into applications using Claude Desktop. Automating flight search queries for travel planning.,Yes,"The MCP server enables searching for flights between IATA airport codes and automates flight search queries, which are concrete tasks performed by travel agents, travel planners, and related occupations as part of their paid work according to O*NET.",Getting Information; Processing Information; Analyzing Data or Information,"The MCP server enables searching for flights between airport codes, integrating flight search into applications, and automating travel planning queries. These activities primarily involve obtaining, processing, and analyzing information about flights, which aligns with ""Getting Information,"" ""Processing Information,"" and ""Analyzing Data or Information."" Excluding any of these could omit relevant ONET tasks related to information retrieval, data handling, or analysis in travel planning and booking contexts.",Obtain information about goods or services; Gather information from physical or electronic sources.,"The MCP server enables searching for flights between two IATA airport codes, which directly supports obtaining information about goods or services (flights), and integrating or automating this into applications involves gathering information from electronic sources. These IWAs cover the core human work activities automated or supported by this MCP; excluding either would risk omitting relevant ONET tasks such as searching, retrieving, or integrating flight information.",,,,,,,,
Hubble AI for Solana,https://mcp.so/server/hubble-ai-mcp/HubbleVision,Description: Hubble-ai mcp server Use cases: Analyzing recent Pumpfun transactions. Visualizing transaction trends over time. Generating charts for presentations or reports.,Yes,"The MCP server analyzes financial transactions, visualizes trends, and generates charts for presentations or reports—tasks that align with occupational activities in data analysis, finance, and business reporting as represented in O*NET.",Analyzing Data or Information; Getting Information; Processing Information; Interpreting the Meaning of Information for Others,"The MCP server enables the analysis of transaction data, visualization of trends, and generation of charts, all of which are core activities in analyzing and processing information. These tasks also involve interpreting data for others (e.g., generating charts for presentations), and require obtaining relevant information from external sources. Therefore, the smallest permissive set should include GWAs related to data analysis, information processing, and interpretation.",,,,,,,,,,
CyberChef API MCP Server,https://mcp.so/server/cyberchef-api-mcp-server/slouchd,Description: CyberChef API MCP Server Use cases: Automating data processing tasks using CyberChef operations. Integrating CyberChef functionalities into custom applications. Batch processing of data with predefined recipes.,Yes,"The MCP server enables automation and integration of CyberChef operations, which are widely used for data processing tasks such as encoding, decoding, and data transformation—activities that are common in IT, cybersecurity, and data analysis occupations as represented in O*NET.",Processing Information; Analyzing Data or Information; Getting Information; Updating and Using Relevant Knowledge,"The CyberChef API MCP server automates and integrates data processing tasks, which directly involves ""Processing Information"" and ""Analyzing Data or Information."" It also enables batch operations and integration into applications, which requires ""Getting Information"" from sources and ""Updating and Using Relevant Knowledge"" to apply recipes or operations. Excluding any of these would risk omitting core tasks automated by CyberChef in real-world workflows.",,,,,,,,,,
Self-hosted AI starter kit (by the n8n team),https://mcp.so/server/pydantic_lod_test/cedricdcc,Description: pydantic agent workflow using mcp servers to test out advanced retrieval of linked data Use cases: Building custom AI workflows for data processing. Creating chatbots that interact with local models. Developing applications that require integration with various APIs.,Yes,"The MCP server is described as enabling workflows for data processing, chatbot development, and API integration, all of which are concrete tasks commonly performed in occupational settings such as software development, data analysis, and IT support, as represented in O*NET.",Getting Information; Processing Information; Analyzing Data or Information; Developing Objectives and Strategies; Updating and Using Relevant Knowledge,"The MCP server enables AI assistants to access and process external data, interact with APIs, and build custom workflows, which directly involves ""Getting Information,"" ""Processing Information,"" and ""Analyzing Data or Information."" Additionally, ""Developing Objectives and Strategies"" is relevant for building custom workflows, and ""Updating and Using Relevant Knowledge"" applies to integrating and utilizing new data sources or APIs. Excluding any of these would risk omitting core activities automated or supported by the MCP in real-world deployments.",,,,,,,,,,
Gitee MCP Server,https://mcp.so/server/mcp-gitee/oschina,"Description: mcp-gitee is a Model Context Protocol (MCP) server implementation for Gitee. It provides a set of tools that interact with Gitee's API, allowing AI assistants to manage repository, issues, pull requests, etc. Use cases: Managing repository issues and pull requests. Automating repository management tasks for AI assistants. Integrating Gitee functionalities into other applications.",Yes,"The MCP server provides tools for managing repository issues and pull requests and automating repository management tasks, which are concrete work activities commonly performed by software developers and project managers as part of their occupational roles, as represented in O*NET.",Getting Information; Processing Information; Documenting/Recording Information; Making Decisions and Solving Problems,"The mcp-gitee server enables AI assistants to interact with Gitee's API for managing repositories, issues, and pull requests, which directly involves obtaining and processing information, documenting actions, and making decisions or solving problems related to repository management. These activities map to ""Getting Information,"" ""Processing Information,"" ""Documenting/Recording Information,"" and ""Making Decisions and Solving Problems."" Excluding any of these would risk omitting core tasks such as issue triage, pull request review, or repository updates that are central to the MCP's function.","Compile records, documentation, or other data; Document technical designs, procedures, or activities; Gather information from physical or electronic sources; Maintain operational records; Prepare reports of operational or procedural activities.","The mcp-gitee server enables AI assistants to interact with Gitee's API for managing repositories, issues, and pull requests, which involves gathering information from electronic sources, compiling and maintaining records, documenting technical activities, and preparing reports or documentation related to repository management. These actions map directly to specific IWAs reflecting the core human work automated or supported by this MCP.",,,,,,,,
iRacing,https://mcp.so/server/iracing-data-mcp-server/emilioSp,Description: Node.js mcp server for iRacing data api Use cases: Developing applications that require real-time racing data. Analyzing racing performance metrics. Creating visualizations for racing statistics.,Yes,"The MCP server provides access to real-time racing data, performance metrics analysis, and racing statistics visualizations, all of which are concrete tasks performed by data analysts, sports statisticians, and software developers in the motorsports industry, as represented in O*NET.",Getting Information; Analyzing Data or Information; Processing Information,"The MCP server provides access to real-time racing data, supports analysis of performance metrics, and enables creation of visualizations, all of which involve obtaining, processing, and analyzing information. These activities map directly to ""Getting Information,"" ""Analyzing Data or Information,"" and ""Processing Information."" Excluding any of these would risk omitting core tasks such as data retrieval, analysis, or transformation that are central to the MCP's use cases.",Gather data about operational or development activities; Analyze performance of systems or equipment; Analyze data to improve operations.,"The MCP server provides real-time racing data, supports analysis of racing performance metrics, and enables creation of visualizations for racing statistics. These activities directly map to gathering data about operational activities, analyzing performance of systems or equipment, and analyzing data to improve operations, as these are core to both the use and application of racing data APIs in real-world settings.",,,,,,,,
mentor-mcp-server,https://mcp.so/server/cyanheads_mentor-mcp-server/MCP-Mirror,Description: Mirror of Use cases: Conducting thorough code reviews to improve software quality. Evaluating design documents for user interface improvements. Providing feedback on technical writing and documentation. Brainstorming new features and assessing their feasibility.,Yes,"The MCP server is described as enabling activities such as code reviews, evaluating design documents, providing feedback on technical writing, and brainstorming features—all of which are concrete, occupationally relevant tasks commonly performed by software engineers, technical writers, and product designers as represented in O*NET.","Analyzing Data or Information; Evaluating Information to Determine Compliance with Standards; Judging the Qualities of Objects, Services, or People; Interpreting the Meaning of Information for Others; Providing Consultation and Advice to Others; Thinking Creatively","The MCP server enables activities such as code review, design evaluation, technical writing feedback, and feature brainstorming, all of which involve analyzing information, evaluating quality, interpreting meaning, providing advice, and creative thinking. These activities map directly to GWAs related to information analysis, evaluation, consultation, and creativity, and omitting any of these would risk excluding relevant ONET tasks automated by the MCP.",,,,,,,,,,
Sonar MVP Server,https://mcp.so/server/sonar-mcp-server/lreimer,Description: A MCP server implementation for the SonarQube Cloud API in Golang. Use cases: Integrating SonarQube analysis into CI/CD pipelines. Automating code quality checks in development workflows. Building custom tools that leverage SonarQube data.,Yes,"The MCP server integrates with the SonarQube Cloud API to automate code quality checks and analysis, which are standard tasks performed by software developers and DevOps engineers in professional settings, such as integrating code analysis into CI/CD pipelines.",Analyzing Data or Information; Evaluating Information to Determine Compliance with Standards; Getting Information; Processing Information,"The MCP server enables integration with SonarQube for code analysis, automating code quality checks, and providing access to code quality data. This directly supports activities such as analyzing data or information, evaluating information to determine compliance with standards, getting information, and processing information, as these are core to code analysis and quality assurance workflows.",,,,,,,,,,
mcp_py_exam,https://mcp.so/server/mcp_py_exam/istanadodan,Description: MCP servers and client with gemini Use cases: Building applications that require efficient server-client communication. Developing tools that leverage the Gemini protocol for data transfer. Educational purposes for understanding server-client architecture in Python.,Yes,"The description indicates that the MCP server is used for building applications requiring server-client communication and leveraging the Gemini protocol, which are tasks commonly performed by software developers and align with standardized job tasks in O*NET related to software development and systems integration.",Getting Information; Processing Information; Analyzing Data or Information; Updating and Using Relevant Knowledge,"The MCP server enables efficient server-client communication, data transfer via the Gemini protocol, and supports application development and educational use in server-client architecture. This directly involves activities such as obtaining and processing information, analyzing data, and updating technical knowledge, all of which are core to developing, deploying, and maintaining such systems.",,,,,,,,,,
mcp-server-rubygems,https://mcp.so/server/mcp-server-rubygems/6,Description: A Model Context Protocol (MCP) server for fetching rubygems metadata via rubygems.org API Use cases: Developers can retrieve metadata for RubyGems to integrate into their applications. Users can search for specific RubyGems based on queries. Gem maintainers can check dependencies and ownership information.,Yes,"The MCP server enables retrieval of RubyGems metadata, searching for gems, and checking dependencies and ownership, which are tasks commonly performed by software developers and maintainers as part of their occupational duties, aligning with standardized job tasks in O*NET related to software development and maintenance.",Getting Information; Analyzing Data or Information; Processing Information; Documenting/Recording Information,"The MCP server enables users to retrieve, search, and access metadata about RubyGems, which directly supports the work activities of obtaining information (Getting Information), analyzing or processing that information (Analyzing Data or Information; Processing Information), and recording or updating relevant data (Documenting/Recording Information). These GWAs cover the core human activities automated or supported by this MCP in real-world developer and maintainer workflows.","Obtain information about goods or services; Compile records, documentation, or other data; Document technical designs, procedures, or activities; Evaluate designs, specifications, or other technical data.","The MCP server enables retrieval and searching of RubyGems metadata, which directly supports obtaining information about software packages, compiling and documenting technical data, and evaluating technical information. The most relevant IWAs are those involving obtaining information about goods or services, compiling records or data, documenting technical activities, and evaluating technical data, as these encompass the core real-world tasks automated or supported by this MCP.",,,,,,,,
MCP-testing: OpenWebUI + mcpo Integration,https://mcp.so/server/MCP-testing/cycloarcane,Description: A repository to test MCP servers and interations. Use cases: Validating the performance of MCP servers under different loads. Ensuring compatibility between different versions of MCP servers. Automating the testing process for continuous integration workflows.,Yes,"The MCP server is described as a tool for testing, validating, and automating the performance and compatibility of MCP servers, which aligns with standardized job tasks in software quality assurance, DevOps, and continuous integration—roles that are common and paid in the formal economy.",Getting Information; Analyzing Data or Information; Processing Information; Evaluating Information to Determine Compliance with Standards; Documenting/Recording Information,"The MCP server is primarily used for testing, validating, and automating the evaluation of AI model context protocol servers, which involves gathering information about server performance, analyzing and processing test data, evaluating compliance with standards, and documenting results for continuous integration. These activities map directly to ""Getting Information,"" ""Analyzing Data or Information,"" ""Processing Information,"" ""Evaluating Information to Determine Compliance with Standards,"" and ""Documenting/Recording Information."" Excluding any of these would risk omitting core technical and operational tasks automated or supported by the MCP in real-world deployments.",,,,,,,,,,
Stability AI MCP Server,https://mcp.so/server/mcp-server-stability-ai/tadasant,"Description: MCP Server integrating MCP Clients with Stability AI-powered image manipulation functionalities: generate, edit, upscale, and more. Use cases: Creating unique digital art from text prompts. Preparing product images for e-commerce by removing backgrounds. Enhancing image quality for print-ready materials.",Yes,"The MCP server provides image generation, editing, background removal, and upscaling functionalities, which are concrete tasks performed in occupations such as graphic design, product photography, and digital marketing, as represented in O*NET.","Thinking Creatively; Processing Information; Getting Information; Identifying Objects, Actions, and Events","The MCP server enables AI assistants to generate, edit, and enhance images using Stability AI-powered tools, which directly supports activities such as creating digital art from prompts, preparing product images, and improving image quality. These tasks involve ""Thinking Creatively"" (for generating and editing images), ""Processing Information"" (for manipulating and transforming image data), ""Getting Information"" (for retrieving or receiving image inputs and prompts), and ""Identifying Objects, Actions, and Events"" (for tasks like background removal or object recognition in images).","Create artistic designs or performances; Create visual designs or displays; Develop news, entertainment, or artistic content; Study details of artistic productions","The MCP server enables AI assistants to generate, edit, and enhance images using Stability AI-powered tools, supporting workflows in digital art creation, product image preparation, and image quality enhancement. The relevant IWAs are those directly involving the creation of artistic or visual designs, the development of artistic content, and the study of artistic productions, as these encompass the core human activities automated or supported by the MCP in real-world deployments.",,,,,,,,
MCP Lab,https://mcp.so/server/mcp-lab/LPFerreira33,"Description: This repository contains a modular setup for experimenting with MCP in Python. It includes both a server and a client, as well as reusable tool modules. Use cases: Developing and testing new MCP tools and functionalities. Learning and experimenting with server-client architecture in Python. Customizing and extending the MCP protocol for specific applications.",Yes,"The MCP server is described as a modular system for developing, testing, and experimenting with server-client architectures and tool modules in Python, which are activities directly relevant to software development and engineering occupations as represented in O*NET.","Getting Information; Processing Information; Analyzing Data or Information; Documenting/Recording Information; Updating and Using Relevant Knowledge; Organizing, Planning, and Prioritizing Work","The MCP server enables AI assistants to access and interact with external tools, APIs, and data sources, which directly involves obtaining, processing, and analyzing information, as well as documenting and updating knowledge about these interactions. It also supports experimentation and development, which are closely tied to organizing work and applying relevant knowledge. Excluding any of these GWAs could omit core tasks such as retrieving data, processing API responses, or recording results, all of which are central to MCP's described use cases.",,,,,,,,,,
Python Shopify MCP Server for Claude,https://mcp.so/server/shopify-mcp-server/abhi-mahule,Description: Shopify MCP server Use cases: Retrieve product details and inventory status. Analyze customer spending patterns. Manage and track orders efficiently. Provide contextual assistance in e-commerce conversations.,Yes,"The described MCP server enables retrieval of product details, inventory management, customer spending analysis, and order tracking—tasks that are core to roles such as retail sales managers, e-commerce analysts, and order clerks, as represented in O*NET.",Getting Information; Analyzing Data or Information; Processing Information; Providing Consultation and Advice to Others,"The Shopify MCP server enables retrieval and analysis of product, inventory, customer, and order data, as well as providing contextual assistance in e-commerce conversations. These functions directly map to activities such as getting information, analyzing data, processing information, and providing advice or consultation, all of which are core to managing and supporting e-commerce operations.",,,,,,,,,,
Web Content MCP,https://mcp.so/server/web-content-mcp/hmalfee,Description: An MCP server that provides web content to your agent. Use cases: Searching for information on the web and summarizing results. Directly accessing and scraping content from specific URLs. Integrating with development environments for automated content retrieval.,Yes,"The MCP server enables searching for information on the web, summarizing results, and scraping content from URLs, all of which are concrete tasks performed by roles such as researchers, analysts, and content curators, as represented in O*NET.",Getting Information; Processing Information; Documenting/Recording Information; Interpreting the Meaning of Information for Others,"The MCP server enables AI agents to retrieve, access, and summarize web content, which directly maps to ""Getting Information"" and ""Processing Information."" It also supports ""Documenting/Recording Information"" when content is retrieved for record-keeping or integration, and ""Interpreting the Meaning of Information for Others"" when summarizing or presenting web content. Excluding any of these would risk omitting core tasks automated by the MCP in real-world use.","Gather information from physical or electronic sources; Collect data about consumer needs or opinions; Compile records, documentation, or other data; Prepare informational or instructional materials; Present research or technical information.","The MCP server enables searching, retrieving, and summarizing web content, as well as scraping specific URLs and integrating with development environments for automated content retrieval. The smallest permissive set of IWAs must cover gathering, collecting, and compiling information from electronic sources, as well as preparing and presenting informational materials, since these are the core human activities mirrored by the MCP's capabilities.",,,,,,,,
MCP Chat Adapter,https://mcp.so/server/mcp-chat-adapter/aiamblichus,Description: MCP server for using OpenAI compatible chat endpoints Use cases: Managing multiple chat conversations with language models. Integrating chat capabilities into applications using OpenAI APIs. Facilitating seamless user interactions with AI chatbots.,Yes,"The MCP server enables integration of OpenAI-compatible chat endpoints, which facilitates managing multiple chat conversations and integrating chat capabilities into applications—activities that align with standardized occupational tasks such as customer support, virtual assistance, and chatbot development, all of which are common paid roles in the formal economy.",Getting Information; Processing Information; Communicating with People Outside the Organization,"The MCP server enables AI assistants to access and manage chat endpoints, which directly supports activities involving obtaining, processing, and communicating information, as well as integrating chat capabilities into applications. These functions map to ""Getting Information,"" ""Processing Information,"" and ""Communicating with People Outside the Organization,"" as they cover the core human work of interacting with, retrieving, and relaying information via chat systems.",,,,,,,,,,
mcp_test_with_ollama,https://mcp.so/server/mcp_test_with_ollama/MasudOsmanmr9,Description: an custom mcp server and custom mcp client project powered by ollama's llama 3.2 Use cases: Creating a unique gaming environment for Minecraft players. Testing custom modifications and features in Minecraft. Collaborating with other developers to enhance Minecraft gameplay.,No,"The described MCP server is focused on creating unique gaming environments, testing modifications, and collaborating to enhance Minecraft gameplay, all of which are primarily entertainment or hobbyist activities and not standardized occupational tasks as represented in O*NET.",,,,,,,,,,,,
DiceDB MCP,https://mcp.so/server/dicedb-mcp/pottekkat,Description: A Model Context Protocol (MCP) server implementation for DiceDB to enable AI applications to interact with DiceDB databases. Use cases: Enabling AI applications to store and retrieve data from DiceDB. Facilitating communication between different AI systems and the DiceDB database. Testing connectivity and functionality of the DiceDB server.,Yes,"The MCP server enables AI applications to store and retrieve data from DiceDB and facilitates communication between AI systems and the database, which are concrete tasks commonly performed by database administrators, software developers, and data engineers in occupational settings as represented in O*NET.",Getting Information; Processing Information; Documenting/Recording Information; Analyzing Data or Information,"The MCP server for DiceDB enables AI applications to store, retrieve, and process data from a database, which directly maps to ""Getting Information"" and ""Processing Information."" It also supports ""Documenting/Recording Information"" since storing data is a form of documentation, and ""Analyzing Data or Information"" because retrieving and interacting with data often involves analysis. Excluding any of these would risk omitting core database-related tasks automated by this MCP.","Compile records, documentation, or other data; Document technical designs, procedures, or activities; Maintain operational records; Prepare reports of operational or procedural activities; Gather data about operational or development activities; Evaluate the quality or accuracy of data; Analyze performance of systems or equipment","The MCP server for DiceDB enables AI applications to store, retrieve, and facilitate communication of data with a DiceDB database, which directly supports activities involving gathering, compiling, documenting, maintaining, and preparing data or records. Excluding any of these would risk omitting core database-related ONET tasks that are commonly automated or supported by such a system in real-world deployments.",,,,,,,,
Claude MCP: Enhance Your Experience with Claude.ai,https://mcp.so/server/claude-mcp/emmapoderoso,Description: Browser extension to enable MCP in claude.ai Use cases: Enhancing productivity while using Claude.ai. Streamlining workflows with additional features. Customizing user preferences for notifications and alerts.,Yes,"The MCP server is described as a browser extension that enhances productivity, streamlines workflows, and customizes notifications for users of Claude.ai, which are activities commonly associated with occupational tasks such as administrative support, information management, or productivity enhancement in office settings.","Getting Information; Processing Information; Organizing, Planning, and Prioritizing Work; Updating and Using Relevant Knowledge","The MCP browser extension enables Claude.ai to access external tools, APIs, or data sources, which directly supports activities such as obtaining information, processing it, and enhancing workflows. It also allows for customization and productivity enhancements, which involve organizing work and updating knowledge. These activities map to ""Getting Information,"" ""Processing Information,"" ""Organizing, Planning, and Prioritizing Work,"" and ""Updating and Using Relevant Knowledge.""",,,,,,,,,,
