title,dwa_llm_raw,dwa_human_raw,dwa_shared,dwa_llm_only,dwa_human_only,count_llm,count_human,count_shared,count_llm_only,count_human_only
CyberChef API MCP Server,"Analyze data to assess operational or project effectiveness; Analyze data to identify or resolve operational problems; Analyze data to identify trends or relationships among variables; Analyze operational data to evaluate operations, processes or products; Analyze operational or research data; Sort materials or objects for processing or transport; Sort materials or products for processing, storing, shipping, or grading; Sort materials or products.",Maintain computer equipment or software.,,Analyze data to assess operational or project effectiveness; Analyze data to identify or resolve operational problems; Analyze data to identify trends or relationships among variables; Analyze operational data to evaluate operations processes or products; Analyze operational or research data; Sort materials or objects for processing or transport; Sort materials or products; Sort materials or products for processing storing shipping or grading,Maintain computer equipment or software,8,1,0,8,1
Self-hosted AI starter kit (by the n8n team),"Retrieve information from electronic sources; Search files, databases or reference materials to obtain needed information; Analyze data to assess operational or project effectiveness; Analyze data to identify or resolve operational problems; Analyze data to inform operational decisions or activities; Develop data analysis or data management procedures; Develop procedures for data management; Develop procedures for data entry or processing; Process information",Configure computer networks.,,Analyze data to assess operational or project effectiveness; Analyze data to identify or resolve operational problems; Analyze data to inform operational decisions or activities; Develop data analysis or data management procedures; Develop procedures for data entry or processing; Develop procedures for data management; Process information; Retrieve information from electronic sources; Search files databases or reference materials to obtain needed information,Configure computer networks,9,1,0,9,1
Gitee MCP Server,Document operational activities; Maintain operational records; Retrieve information from electronic sources.,Retrieve information from electronic sources.,Retrieve information from electronic sources,Document operational activities; Maintain operational records,,3,1,1,2,0
iRacing,"Analyze test or performance data to assess equipment operation; Retrieve information from electronic sources; Search files, databases or reference materials to obtain needed information; Search information sources to find specific data.",Retrieve information from electronic sources.,Retrieve information from electronic sources,Analyze test or performance data to assess equipment operation; Search files databases or reference materials to obtain needed information; Search information sources to find specific data,,4,1,1,3,0
mentor-mcp-server,Advise others on the development or use of new technologies; Analyze data to determine project feasibility; Evaluate project designs to determine adequacy or feasibility; Provide technical guidance to other personnel.,Provide technical support for software maintenance or use.; Recommend changes to improve computer or information systems.; Identify information technology project resource requirements.; Analyze project data to determine specifications or requirements.,,Advise others on the development or use of new technologies; Analyze data to determine project feasibility; Evaluate project designs to determine adequacy or feasibility; Provide technical guidance to other personnel,Analyze project data to determine specifications or requirements; Identify information technology project resource requirements; Provide technical support for software maintenance or use; Recommend changes to improve computer or information systems,4,4,0,4,4
Sonar MVP Server,Analyze test or performance data to assess equipment operation; Gather organizational performance information; Interpret design or operational test results,"Recommend changes to improve computer or information systems.; Analyze security of systems, network, or data.",,Analyze test or performance data to assess equipment operation; Gather organizational performance information; Interpret design or operational test results,Analyze security of systems network or data; Recommend changes to improve computer or information systems,3,2,0,3,2
mcp_py_exam,Analyze operational or research data; Gather information in order to provide services to clients; Retrieve information from electronic sources; Search information sources to find specific data; Evaluate data quality.,Configure computer networks.,,Analyze operational or research data; Evaluate data quality; Gather information in order to provide services to clients; Retrieve information from electronic sources; Search information sources to find specific data,Configure computer networks,5,1,0,5,1
mcp-server-rubygems,"Retrieve information from electronic sources; Search files, databases or reference materials to obtain needed information; Search information sources to find specific data; Use databases to locate investigation details or other information; Obtain information about goods or services.",Retrieve information from electronic sources.; Search information sources to find specific data.,Retrieve information from electronic sources; Search information sources to find specific data,Obtain information about goods or services; Search files databases or reference materials to obtain needed information; Use databases to locate investigation details or other information,,5,2,2,3,0
MCP-testing: OpenWebUI + mcpo Integration,Analyze test or performance data to assess equipment operation; Analyze test or validation data; Interpret design or operational test results.,Provide technical support for software maintenance or use.,,Analyze test or performance data to assess equipment operation; Analyze test or validation data; Interpret design or operational test results,Provide technical support for software maintenance or use,3,1,0,3,1
Stability AI MCP Server,"Create images of data, locations, or products; Create images or other visual displays; Prepare graphics or other visual representations of information; Design layouts for print publications; Design layout of art or product exhibits, displays, or promotional materials.","Create computer-generated graphics or animation.; Create images of data, locations, or products.; Create images or other visual displays.",Create images of data locations or products; Create images or other visual displays,Design layout of art or product exhibits displays or promotional materials; Design layouts for print publications; Prepare graphics or other visual representations of information,Create computer-generated graphics or animation,5,3,2,3,1
MCP Lab,"Retrieve information from electronic sources; Search files, databases or reference materials to obtain needed information; Analyze operational or research data; Process information; Document technical designs, procedures, or activities; Update and use relevant knowledge.",Provide technical support for software maintenance or use.; Configure computer networks.; Install programs onto computer or computer-controlled equipment.,,Analyze operational or research data; Document technical designs procedures or activities; Process information; Retrieve information from electronic sources; Search files databases or reference materials to obtain needed information; Update and use relevant knowledge,Configure computer networks; Install programs onto computer or computer-controlled equipment; Provide technical support for software maintenance or use,6,3,0,6,3
Python Shopify MCP Server for Claude,Obtain information about goods or services; Analyze market or customer related data; Analyze business or financial data.,Advise others on business or operational matters.; Advise customers on the use of products or services.; Recommend products or services to customers.; Analyze business or financial data.; Apply mathematical models of financial or business conditions.; Analyze data to inform operational decisions or activities.; Determine the value of goods or services.; Retrieve information from electronic sources.,Analyze business or financial data,Analyze market or customer related data; Obtain information about goods or services,Advise customers on the use of products or services; Advise others on business or operational matters; Analyze data to inform operational decisions or activities; Apply mathematical models of financial or business conditions; Determine the value of goods or services; Recommend products or services to customers; Retrieve information from electronic sources,3,8,1,2,7
Web Content MCP,"Gather information from physical or electronic sources; Retrieve information from electronic sources; Search information sources to find specific data; Search files, databases or reference materials to obtain needed information; Prepare informational or reference materials.",,,Gather information from physical or electronic sources; Prepare informational or reference materials; Retrieve information from electronic sources; Search files databases or reference materials to obtain needed information; Search information sources to find specific data,,5,0,0,5,0
MCP Chat Adapter,"Gather information in order to provide services to clients; Retrieve information from electronic sources; Search files, databases or reference materials to obtain needed information; Search information sources to find specific data; Use databases to locate investigation details or other information.",,,Gather information in order to provide services to clients; Retrieve information from electronic sources; Search files databases or reference materials to obtain needed information; Search information sources to find specific data; Use databases to locate investigation details or other information,,5,0,0,5,0
DiceDB MCP,Maintain data in information systems or databases; Record research or operational data; Prepare operational reports or records; Evaluate data quality; Verify accuracy of data,Retrieve information from electronic sources.,,Evaluate data quality; Maintain data in information systems or databases; Prepare operational reports or records; Record research or operational data; Verify accuracy of data,Retrieve information from electronic sources,5,1,0,5,1
Claude MCP: Enhance Your Experience with Claude.ai,Retrieve information from electronic sources; Search information sources to find specific data; Maintain current knowledge related to work activities; Update technical knowledge.,Configure computer networks.,,Maintain current knowledge related to work activities; Retrieve information from electronic sources; Search information sources to find specific data; Update technical knowledge,Configure computer networks,4,1,0,4,1
comfy-ui-mcp-server MCP server,"Maintain records, documents, or other files; Organize informational materials; Prepare informational or reference materials; Write informational material",Retrieve information from electronic sources.,,Maintain records documents or other files; Organize informational materials; Prepare informational or reference materials; Write informational material,Retrieve information from electronic sources,4,1,0,4,1
