title,gwa_llm_raw,gwa_human_raw,gwa_shared,gwa_llm_only,gwa_human_only,count_llm,count_human,count_shared,count_llm_only,count_human_only
CyberChef API MCP Server,Analyzing Data or Information; Getting Information; Processing Information,Repairing and Maintaining Mechanical Equipment,,Analyzing Data or Information; Getting Information; Processing Information,Repairing and Maintaining Mechanical Equipment,3,1,0,3,1
Self-hosted AI starter kit (by the n8n team),Getting Information; Processing Information; Analyzing Data or Information; Updating and Using Relevant Knowledge,Working with Computers,,Analyzing Data or Information; Getting Information; Processing Information; Updating and Using Relevant Knowledge,Working with Computers,4,1,0,4,1
Gitee MCP Server,"Getting Information; Documenting/Recording Information; Processing Information; Performing Administrative Activities; Organizing, Planning, and Prioritizing Work",Getting Information,Getting Information,"Documenting/Recording Information; Organizing, Planning, and Prioritizing Work; Performing Administrative Activities; Processing Information",,5,1,1,4,0
iRacing,Analyzing Data or Information; Getting Information; Processing Information,Getting Information,Getting Information,Analyzing Data or Information; Processing Information,,3,1,1,2,0
mentor-mcp-server,"Analyzing Data or Information; Evaluating Information to Determine Compliance with Standards; Judging the Qualities of Objects, Services, or People; Interpreting the Meaning of Information for Others; Providing Consultation and Advice to Others; Thinking Creatively; Documenting/Recording Information; Getting Information; Processing Information; Updating and Using Relevant Knowledge",Analyzing Data or Information; Making Decisions and Solving Problems; Providing Consultation and Advice to Others,Analyzing Data or Information; Providing Consultation and Advice to Others,"Documenting/Recording Information; Evaluating Information to Determine Compliance with Standards; Getting Information; Interpreting the Meaning of Information for Others; Judging the Qualities of Objects, Services, or People; Processing Information; Thinking Creatively; Updating and Using Relevant Knowledge",Making Decisions and Solving Problems,10,3,2,8,1
Sonar MVP Server,Analyzing Data or Information; Evaluating Information to Determine Compliance with Standards; Getting Information; Processing Information,Analyzing Data or Information; Providing Consultation and Advice to Others,Analyzing Data or Information,Evaluating Information to Determine Compliance with Standards; Getting Information; Processing Information,Providing Consultation and Advice to Others,4,2,1,3,1
mcp_py_exam,Getting Information; Processing Information; Analyzing Data or Information; Documenting/Recording Information; Updating and Using Relevant Knowledge,Working with Computers,,Analyzing Data or Information; Documenting/Recording Information; Getting Information; Processing Information; Updating and Using Relevant Knowledge,Working with Computers,5,1,0,5,1
mcp-server-rubygems,Getting Information;Processing Information;Analyzing Data or Information;Updating and Using Relevant Knowledge,Getting Information,Getting Information,Analyzing Data or Information; Processing Information; Updating and Using Relevant Knowledge,,4,1,1,3,0
MCP-testing: OpenWebUI + mcpo Integration,"Analyzing Data or Information; Evaluating Information to Determine Compliance with Standards; Monitoring Processes, Materials, or Surroundings; Processing Information; Getting Information",Providing Consultation and Advice to Others,,"Analyzing Data or Information; Evaluating Information to Determine Compliance with Standards; Getting Information; Monitoring Processes, Materials, or Surroundings; Processing Information",Providing Consultation and Advice to Others,5,1,0,5,1
Stability AI MCP Server,"Processing Information; Identifying Objects, Actions, and Events; Thinking Creatively; Getting Information",Thinking Creatively,Thinking Creatively,"Getting Information; Identifying Objects, Actions, and Events; Processing Information",,4,1,1,3,0
MCP Lab,Analyzing Data or Information; Getting Information; Processing Information; Updating and Using Relevant Knowledge,Providing Consultation and Advice to Others; Working with Computers,,Analyzing Data or Information; Getting Information; Processing Information; Updating and Using Relevant Knowledge,Providing Consultation and Advice to Others; Working with Computers,4,2,0,4,2
Python Shopify MCP Server for Claude,Analyzing Data or Information; Getting Information; Processing Information; Providing Consultation and Advice to Others; Documenting/Recording Information,Analyzing Data or Information; Getting Information; Making Decisions and Solving Problems; Providing Consultation and Advice to Others,Analyzing Data or Information; Getting Information; Providing Consultation and Advice to Others,Documenting/Recording Information; Processing Information,Making Decisions and Solving Problems,5,4,3,2,1
Web Content MCP,Getting Information; Processing Information; Documenting/Recording Information; Interpreting the Meaning of Information for Others,Documenting/Recording Information; Getting Information; Processing Information,Documenting/Recording Information; Getting Information; Processing Information,Interpreting the Meaning of Information for Others,,4,3,3,1,0
MCP Chat Adapter,Communicating with People Outside the Organization; Getting Information; Processing Information; Documenting/Recording Information; Performing for or Working Directly with the Public,"Analyzing Data or Information; Controlling Machines and Processes; Documenting/Recording Information; Getting Information; Interpreting the Meaning of Information for Others; Making Decisions and Solving Problems; Organizing, Planning, and Prioritizing Work; Performing Administrative Activities; Processing Information; Updating and Using Relevant Knowledge",Documenting/Recording Information; Getting Information; Processing Information,Communicating with People Outside the Organization; Performing for or Working Directly with the Public,"Analyzing Data or Information; Controlling Machines and Processes; Interpreting the Meaning of Information for Others; Making Decisions and Solving Problems; Organizing, Planning, and Prioritizing Work; Performing Administrative Activities; Updating and Using Relevant Knowledge",5,10,3,2,7
DiceDB MCP,"Getting Information; Processing Information; Documenting/Recording Information; Monitoring Processes, Materials, or Surroundings",Getting Information,Getting Information,"Documenting/Recording Information; Monitoring Processes, Materials, or Surroundings; Processing Information",,4,1,1,3,0
Claude MCP: Enhance Your Experience with Claude.ai,"Getting Information; Processing Information; Organizing, Planning, and Prioritizing Work",Working with Computers,,"Getting Information; Organizing, Planning, and Prioritizing Work; Processing Information",Working with Computers,3,1,0,3,1
comfy-ui-mcp-server MCP server,Documenting/Recording Information; Processing Information; Interpreting the Meaning of Information for Others; Getting Information,Getting Information,Getting Information,Documenting/Recording Information; Interpreting the Meaning of Information for Others; Processing Information,,4,1,1,3,0
