title,url,text_for_llm,occ_relevant,occ_relevant_reasoning,gwa,gwa_reasoning,iwa,iwa_reasoning,dwa,dwa_reasoning,task,task_reasoning,deployability,deployability_reasoning,workflow_auto,workflow_auto_reasoning
MCP-testing: OpenWebUI + mcpo Integration,https://mcp.so/server/MCP-testing/cycloarcane,Description: A repository to test MCP servers and interations. Use cases: Validating the performance of MCP servers under different loads. Ensuring compatibility between different versions of MCP servers. Automating the testing process for continuous integration workflows.,Yes,"The MCP server is described as a tool for testing, validating, and automating the evaluation of MCP servers, which are tasks commonly performed by software engineers and QA professionals as part of their paid work in software development and maintenance.","Evaluating Information to Determine Compliance with Standards; Monitoring Processes, Materials, or Surroundings; Processing Information","The MCP server automates the testing and validation of its own performance and compatibility, which involves evaluating compliance with standards, monitoring server processes under different loads, and processing information as part of automated testing workflows.",,,,,,,,,,
Stability AI MCP Server,https://mcp.so/server/mcp-server-stability-ai/tadasant,"Description: MCP Server integrating MCP Clients with Stability AI-powered image manipulation functionalities: generate, edit, upscale, and more. Use cases: Creating unique digital art from text prompts. Preparing product images for e-commerce by removing backgrounds. Enhancing image quality for print-ready materials.",Yes,"The MCP server enables image generation, editing, and enhancement tasks such as creating digital art, preparing product images for e-commerce, and improving image quality for print, all of which are services for which people are commonly paid in professional settings.","Thinking Creatively; Identifying Objects, Actions, and Events; Judging the Qualities of Objects, Services, or People","The MCP server automates the creation and manipulation of images based on text prompts, which aligns with ""Thinking Creatively."" It also supports tasks like removing backgrounds and enhancing image quality, which involve ""Identifying Objects, Actions, and Events"" and ""Judging the Qualities of Objects, Services, or People"" in images.",,,,,,,,,,
MCP Lab,https://mcp.so/server/mcp-lab/LPFerreira33,"Description: This repository contains a modular setup for experimenting with MCP in Python. It includes both a server and a client, as well as reusable tool modules. Use cases: Developing and testing new MCP tools and functionalities. Learning and experimenting with server-client architecture in Python. Customizing and extending the MCP protocol for specific applications.",Yes,"The MCP server enables AI assistants to access external tools, APIs, or data sources, which are activities commonly performed in occupational settings such as software development, automation, and data integration. The use cases include developing and testing new tools and functionalities, which are tasks for which people are routinely paid.",Getting Information; Processing Information; Updating and Using Relevant Knowledge,"The MCP server enables AI assistants to access external tools, APIs, or data sources, which directly supports the activities of obtaining, processing, and updating information and knowledge—core aspects of these GWAs. Its modular, experimental nature also facilitates learning and adapting knowledge in real time.",,,,,,,,,,
Python Shopify MCP Server for Claude,https://mcp.so/server/shopify-mcp-server/abhi-mahule,Description: Shopify MCP server Use cases: Retrieve product details and inventory status. Analyze customer spending patterns. Manage and track orders efficiently. Provide contextual assistance in e-commerce conversations.,Yes,"The described MCP server enables tasks such as retrieving product details, analyzing customer spending, managing orders, and providing e-commerce assistance, all of which are occupationally relevant activities commonly performed by paid employees in retail and e-commerce sectors.",Getting Information; Analyzing Data or Information; Processing Information; Providing Consultation and Advice to Others,"The Shopify MCP server retrieves product details, inventory status, and customer spending patterns (Getting Information, Processing Information, Analyzing Data or Information), and provides contextual assistance in e-commerce conversations (Providing Consultation and Advice to Others). These activities align directly with the described use cases.",,,,,,,,,,
Web Content MCP,https://mcp.so/server/web-content-mcp/hmalfee,Description: An MCP server that provides web content to your agent. Use cases: Searching for information on the web and summarizing results. Directly accessing and scraping content from specific URLs. Integrating with development environments for automated content retrieval.,Yes,"The MCP server enables searching for information on the web, summarizing results, and scraping content from URLs, all of which are tasks that humans are commonly paid to perform in roles such as research, journalism, and data analysis.",Getting Information; Processing Information; Documenting/Recording Information; Interpreting the Meaning of Information for Others,"The MCP server automates searching for and retrieving web content (Getting Information), extracting and summarizing data (Processing Information), potentially recording or storing retrieved content (Documenting/Recording Information), and summarizing or interpreting web results for users (Interpreting the Meaning of Information for Others).",,,,,,,,,,
MCP Chat Adapter,https://mcp.so/server/mcp-chat-adapter/aiamblichus,Description: MCP server for using OpenAI compatible chat endpoints Use cases: Managing multiple chat conversations with language models. Integrating chat capabilities into applications using OpenAI APIs. Facilitating seamless user interactions with AI chatbots.,Yes,"The MCP server enables managing multiple chat conversations with language models and integrating chat capabilities into applications, both of which are tasks that humans are paid to do (e.g., customer support, chatbot development, application integration).",Getting Information; Processing Information; Communicating with People Outside the Organization,"The MCP server enables AI assistants to manage chat conversations and integrate chat capabilities, which primarily involves obtaining and processing user input (Getting Information, Processing Information) and facilitating communication between users and AI (Communicating with People Outside the Organization).",,,,,,,,,,
mcp_test_with_ollama,https://mcp.so/server/mcp_test_with_ollama/MasudOsmanmr9,Description: an custom mcp server and custom mcp client project powered by ollama's llama 3.2 Use cases: Creating a unique gaming environment for Minecraft players. Testing custom modifications and features in Minecraft. Collaborating with other developers to enhance Minecraft gameplay.,Yes,"The MCP server enables creating unique gaming environments, testing modifications, and collaborating on enhancements for Minecraft, all of which are activities that can be part of paid roles such as game development, modding, or server administration.",Getting Information; Processing Information; Making Decisions and Solving Problems; Thinking Creatively,"The MCP server enables AI assistants to access external tools and data sources to create, test, and enhance Minecraft environments, which involves gathering and processing information, solving problems related to game modifications, and applying creative solutions for unique gameplay experiences.",,,,,,,,,,
DiceDB MCP,https://mcp.so/server/dicedb-mcp/pottekkat,Description: A Model Context Protocol (MCP) server implementation for DiceDB to enable AI applications to interact with DiceDB databases. Use cases: Enabling AI applications to store and retrieve data from DiceDB. Facilitating communication between different AI systems and the DiceDB database. Testing connectivity and functionality of the DiceDB server.,Yes,"The MCP server enables AI applications to store and retrieve data from DiceDB and facilitates communication between AI systems and the database, which are tasks commonly performed by database administrators, developers, or IT professionals as part of their paid work.",Getting Information; Processing Information; Documenting/Recording Information,"The MCP server enables AI applications to store and retrieve data from DiceDB, which directly automates the activities of obtaining information, processing it, and recording or documenting it in a database. These actions align with the listed GWAs based on the server's described functionality.",,,,,,,,,,
Claude MCP: Enhance Your Experience with Claude.ai,https://mcp.so/server/claude-mcp/emmapoderoso,Description: Browser extension to enable MCP in claude.ai Use cases: Enhancing productivity while using Claude.ai. Streamlining workflows with additional features. Customizing user preferences for notifications and alerts.,Yes,"The MCP server enables enhanced productivity, workflow streamlining, and customization of notifications in Claude.ai, all of which are activities that can be occupationally relevant and for which people are commonly paid in professional settings.","Organizing, Planning, and Prioritizing Work; Processing Information; Getting Information","The MCP browser extension enhances productivity and streamlines workflows in Claude.ai by enabling access to external tools and data, which primarily supports organizing, planning, and prioritizing work, as well as processing and obtaining information to improve user workflows and customization.",,,,,,,,,,
comfy-ui-mcp-server MCP server,https://mcp.so/server/comfy-ui-mcp-server/jonpojonpo,Description: what it says on the tin Use cases: Storing and organizing personal or collaborative notes. Generating concise summaries of previous notes for quick reference. Configurable prompt style to adapt summary details based on user preference.,Yes,"The MCP server enables storing, organizing, and summarizing notes, which are tasks commonly performed in professional settings such as administration, research, and project management, and for which people are often paid.",Documenting/Recording Information; Processing Information; Interpreting the Meaning of Information for Others,"The MCP server is primarily used for storing and organizing notes (Documenting/Recording Information), generating summaries (Processing Information), and providing concise summaries for quick reference (Interpreting the Meaning of Information for Others). These activities align directly with the described use cases.",,,,,,,,,,
