task,task_normalized,soc_code_2010,title,title_normalized,task_type,n_responding,domain_source,n_occurrences,pct_weighted,pct_normalized,major_occ_category,broad_counts,h_med_nat_2024,a_med_nat_2024,h_med_ut_2024,a_med_ut_2024,emp_tot_nat_2024,emp_tot_ut_2024,h_med_nat_nominal_2015,a_med_nat_nominal_2015,h_med_nat_real_2015,a_med_nat_real_2015,h_med_ut_nominal_2015,a_med_ut_nominal_2015,h_med_ut_real_2015,a_med_ut_real_2015,emp_tot_nat_2015,emp_tot_ut_2015,emp_pct_nat_2024,emp_pct_ut_2024,emp_pct_nat_2015,emp_pct_ut_2015,freq_mean_2025,importance_2025,relevance_2025,imputed_rating_mean_2025,freq_mean_2015,importance_2015,relevance_2015,imputed_rating_mean_2015
Formulate or implement sustainability campaign or marketing strategies.,formulate or implement sustainability campaign or marketing strategies,11-1011.03,Chief Sustainability Officers,chief sustainability officers,Core,26.0,Occupational Expert,1.0,0.003956775857530201,0.0051239740287716004,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,15839.0,595.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,35729.0,564.0,0.010272565757327221,0.028448753992388165,0.02590998215620306,0.029947273683036783,0.3375715384615385,3.74,100.0,False,0.12932115384615384,3.54,92.31,False
"Research environmental sustainability issues, concerns, or stakeholder interests.",research environmental sustainability issues concerns or stakeholder interests,11-1011.03,Chief Sustainability Officers,chief sustainability officers,Core,26.0,Occupational Expert,1.0,0.004602780079167819,0.005960541217142517,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,15839.0,595.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,35729.0,564.0,0.010272565757327221,0.028448753992388165,0.02590998215620306,0.029947273683036783,0.4857965384615385,3.74,100.0,False,1.0214050000000001,4.04,100.0,False
"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",develop or oversee the development of marketing or outreach media for sustainability projects or events,11-1011.03,Chief Sustainability Officers,chief sustainability officers,Core,26.0,Occupational Expert,1.0,0.0032300211081879304,0.004182835941854382,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,15839.0,595.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,35729.0,564.0,0.010272565757327221,0.028448753992388165,0.02590998215620306,0.029947273683036783,0.39401,3.93,100.0,False,0.2827692307692308,3.88,96.15,False
"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",write project proposals grant applications or other documents to pursue funding for environmental initiatives,11-1011.03,Chief Sustainability Officers,chief sustainability officers,Core,26.0,Occupational Expert,1.0,0.004602780079167819,0.005960541217142517,Management Occupations,1.0,99.24,206420.0,78.84,163980.0,15839.0,595.0,84.19,175110.0,114.4984,238149.6,62.14,129260.0,84.5104,175793.6,35729.0,564.0,0.010272565757327221,0.028448753992388165,0.02590998215620306,0.029947273683036783,0.09643576923076923,3.33,100.0,False,0.07272076923076923,3.32,84.62,False
"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",review financial statements sales or activity reports or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement,11-1021.00,General and Operations Managers,general and operations managers,Core,157.0,Incumbent,1.0,0.025840168865503523,0.03346268753483516,Management Occupations,1.0,49.5,102950.0,43.86,91230.0,3584420.0,45910.0,46.99,97730.0,63.906400000000005,132912.80000000002,33.72,70150.0,45.8592,95404.0,2145140.0,31180.0,2.3247168477731446,2.195096295446287,1.555614182388464,1.6555957330444804,0.7717453846153847,4.18,97.14,False,1.8349526923076922,4.09,95.28,False
"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",develop or implement productmarketing strategies including advertising campaigns or sales promotions,11-1021.00,General and Operations Managers,general and operations managers,Supplemental,158.0,Incumbent,1.0,0.001453509498684541,0.0018822761738344364,Management Occupations,1.0,49.5,102950.0,43.86,91230.0,3584420.0,45910.0,46.99,97730.0,63.906400000000005,132912.80000000002,33.72,70150.0,45.8592,95404.0,2145140.0,31180.0,2.3247168477731446,2.195096295446287,1.555614182388464,1.6555957330444804,0.3697842307692308,3.57,51.98,False,0.4617392307692308,3.34,45.75,False
Set prices or credit terms for goods or services based on forecasts of customer demand.,set prices or credit terms for goods or services based on forecasts of customer demand,11-1021.00,General and Operations Managers,general and operations managers,Supplemental,158.0,Incumbent,1.0,0.0030685200527785462,0.003973694144761678,Management Occupations,1.0,49.5,102950.0,43.86,91230.0,3584420.0,45910.0,46.99,97730.0,63.906400000000005,132912.80000000002,33.72,70150.0,45.8592,95404.0,2145140.0,31180.0,2.3247168477731446,2.195096295446287,1.555614182388464,1.6555957330444804,1.4877734615384615,4.01,49.24,False,0.6367769230769231,3.93,48.48,False
"Write, prepare, and deliver statements for the Congressional Record.",write prepare and deliver statements for the congressional record,11-1031.00,Legislators,legislators,Core,,Analyst,1.0,0.0015342600263892731,0.001986847072380839,Management Occupations,1.0,21.54326923076923,44810.0,24.326923076923077,50600.0,26510.0,300.0,9.85576923076923,20500.0,13.403846153846153,27880.000000000004,9.235576923076923,19210.0,12.560384615384617,26125.600000000002,55820.0,670.0,0.017193365630831785,0.014343909575994032,0.04047958812055347,0.03557566199935221,0.8348491062271063,3.8789047619047623,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True
"Determine campaign strategies for media advertising, positions on issues, and public appearances.",determine campaign strategies for media advertising positions on issues and public appearances,11-1031.00,Legislators,legislators,Core,,Analyst,1.0,0.003149270580483199,0.00407826504330798,Management Occupations,1.0,21.54326923076923,44810.0,24.326923076923077,50600.0,26510.0,300.0,9.85576923076923,20500.0,13.403846153846153,27880.000000000004,9.235576923076923,19210.0,12.560384615384617,26125.600000000002,55820.0,670.0,0.017193365630831785,0.014343909575994032,0.04047958812055347,0.03557566199935221,0.8348491062271063,3.8789047619047623,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True
"Represent their parties in negotiations with political executives or members of other parties, and when speaking with the media.",represent their parties in negotiations with political executives or members of other parties and when speaking with the media,11-1031.00,Legislators,legislators,Core,,Analyst,1.0,0.0013727589709798095,0.0017777052752880336,Management Occupations,1.0,21.54326923076923,44810.0,24.326923076923077,50600.0,26510.0,300.0,9.85576923076923,20500.0,13.403846153846153,27880.000000000004,9.235576923076923,19210.0,12.560384615384617,26125.600000000002,55820.0,670.0,0.017193365630831785,0.014343909575994032,0.04047958812055347,0.03557566199935221,0.8348491062271063,3.8789047619047623,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True
"Represent their government at local, national, and international meetings and conferences.",represent their government at local national and international meetings and conferences,11-1031.00,Legislators,legislators,Core,,Analyst,1.0,0.0022610147757315432,0.002927985159298057,Management Occupations,1.0,21.54326923076923,44810.0,24.326923076923077,50600.0,26510.0,300.0,9.85576923076923,20500.0,13.403846153846153,27880.000000000004,9.235576923076923,19210.0,12.560384615384617,26125.600000000002,55820.0,670.0,0.017193365630831785,0.014343909575994032,0.04047958812055347,0.03557566199935221,0.8348491062271063,3.8789047619047623,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True
"Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures.",prepare drafts of amendments government policies laws rules regulations budgets programs and procedures,11-1031.00,Legislators,legislators,Core,,Analyst,1.0,0.010093815963087293,0.01307136231829496,Management Occupations,1.0,21.54326923076923,44810.0,24.326923076923077,50600.0,26510.0,300.0,9.85576923076923,20500.0,13.403846153846153,27880.000000000004,9.235576923076923,19210.0,12.560384615384617,26125.600000000002,55820.0,670.0,0.017193365630831785,0.014343909575994032,0.04047958812055347,0.03557566199935221,0.8348491062271063,3.8789047619047623,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True
Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns,11-2011.00,Advertising and Promotions Managers,advertising and promotions managers,Supplemental,61.0,Incumbent,1.0,0.03593398482859089,0.04653404985313022,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5194.0,57.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,14445.0,162.0,0.003368628483083375,0.002725342819438866,0.010475235585836525,0.008601876483425457,0.5486730769230769,3.59,77.04,False,0.7753492307692308,3.52,56.57,False
"Inspect layouts and advertising copy and edit scripts, audio and video tapes, and other promotional material for adherence to specifications.",inspect layouts and advertising copy and edit scripts audio and video tapes and other promotional material for adherence to specifications,11-2011.00,Advertising and Promotions Managers,advertising and promotions managers,Core,62.0,Incumbent,1.0,0.002018763192617427,0.0026142724636589506,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5194.0,57.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,14445.0,162.0,0.003368628483083375,0.002725342819438866,0.010475235585836525,0.008601876483425457,0.6718373076923078,3.6,81.2425,True,1.948657307692308,4.45,93.62,False
"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",read trade journals and professional literature to stay informed on trends innovations and changes that affect media planning,11-2011.00,Advertising and Promotions Managers,advertising and promotions managers,Core,62.0,Incumbent,1.0,0.001695761081798658,0.0021959888694735434,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5194.0,57.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,14445.0,162.0,0.003368628483083375,0.002725342819438866,0.010475235585836525,0.008601876483425457,0.4956346153846154,3.25,86.55,False,0.8454996153846154,3.17,96.77,False
Gather and organize information to plan advertising campaigns.,gather and organize information to plan advertising campaigns,11-2011.00,Advertising and Promotions Managers,advertising and promotions managers,Core,62.0,Incumbent,1.0,0.003391522163597316,0.004391977738947087,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5194.0,57.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,14445.0,162.0,0.003368628483083375,0.002725342819438866,0.010475235585836525,0.008601876483425457,0.6718373076923078,3.6,81.2425,True,1.2783788461538461,4.12,87.98,False
"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",plan and prepare advertising and promotional material to increase sales of products or services working with customers company officials sales departments and advertising agencies,11-2011.00,Advertising and Promotions Managers,advertising and promotions managers,Core,61.0,Incumbent,1.0,0.04392828707135603,0.05688656880921982,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5194.0,57.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,14445.0,162.0,0.003368628483083375,0.002725342819438866,0.010475235585836525,0.008601876483425457,1.5242488461538461,4.13,96.37,False,1.114045,4.34,93.07,False
"Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.",devise or evaluate methods and procedures for collecting data such as surveys opinion polls and questionnaires,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.010255317018496678,0.013280504115387661,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5356.0,59.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,14895.0,168.0,0.0034736954477078475,0.0028209688832788265,0.010801566912498098,0.008920464501330105,0.8348491062271063,3.8789047619047623,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True
Analyze the effectiveness of marketing tactics or channels.,analyze the effectiveness of marketing tactics or channels,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.031977208971060614,0.041410075824358517,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5356.0,59.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,14895.0,168.0,0.0034736954477078475,0.0028209688832788265,0.010801566912498098,0.008920464501330105,0.8348491062271063,3.8789047619047623,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True
Generate or identify sales leads for green products and technologies.,generate or identify sales leads for green products and technologies,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.007106046438013478,0.009202239072079682,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5356.0,59.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,14895.0,168.0,0.0034736954477078475,0.0028209688832788265,0.010801566912498098,0.008920464501330105,0.8348491062271063,3.8789047619047623,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True
"Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of green products and technologies.",develop communications materials advertisements presentations or public relations initiatives to promote awareness of green products and technologies,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.02890868891828207,0.03743638167959684,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5356.0,59.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,14895.0,168.0,0.0034736954477078475,0.0028209688832788265,0.010801566912498098,0.008920464501330105,0.8348491062271063,3.8789047619047623,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True
"Analyze regional energy markets, including energy pricing, market structures, energy generation competition, and energy transmission constraints.",analyze regional energy markets including energy pricing market structures energy generation competition and energy transmission constraints,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.00427977796834897,0.005542257622957007,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5356.0,59.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,14895.0,168.0,0.0034736954477078475,0.0028209688832788265,0.010801566912498098,0.008920464501330105,0.8348491062271063,3.8789047619047623,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True
Analyze green product marketing or sales trends to forecast future conditions.,analyze green product marketing or sales trends to forecast future conditions,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.0020995137203221586,0.0027188433622053537,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5356.0,59.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,14895.0,168.0,0.0034736954477078475,0.0028209688832788265,0.010801566912498098,0.008920464501330105,0.8348491062271063,3.8789047619047623,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True
Identify marketing channels for green products or services.,identify marketing channels for green products or services,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.0012112579155704247,0.0015685634781953297,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5356.0,59.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,14895.0,168.0,0.0034736954477078475,0.0028209688832788265,0.010801566912498098,0.008920464501330105,0.8348491062271063,3.8789047619047623,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True
"Revise existing marketing plans or campaigns for green products, technologies, or services.",revise existing marketing plans or campaigns for green products technologies or services,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.0023417653034361963,0.0030325560578443583,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5356.0,59.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,14895.0,168.0,0.0034736954477078475,0.0028209688832788265,0.010801566912498098,0.008920464501330105,0.8348491062271063,3.8789047619047623,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True
"Write marketing content for green product web sites, brochures, or other communication media.",write marketing content for green product web sites brochures or other communication media,11-2011.01,Green Marketers,green marketers,Core,,Analyst,1.0,0.0028262684696644296,0.0036599814491225717,Management Occupations,1.0,61.04,126960.0,52.1,108370.0,5356.0,59.0,46.1,95890.0,62.696000000000005,130410.40000000001,35.58,74010.0,48.3888,100653.6,14895.0,168.0,0.0034736954477078475,0.0028209688832788265,0.010801566912498098,0.008920464501330105,0.8348491062271063,3.8789047619047623,84.09519047619048,True,0.8199425484439224,3.812900763358779,84.30347328244274,True
"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",advise business or other groups on local national or international factors affecting the buying or selling of products or services,11-2021.00,Marketing Managers,marketing managers,Supplemental,113.0,Incumbent,1.0,0.011870327572590681,0.015371922086314903,Management Occupations,2.0,77.42,161030.0,65.0,135190.0,384980.0,6560.0,61.9,128750.0,84.184,175100.0,52.68,109570.0,71.6448,149015.2,192890.0,1670.0,0.24968321013042702,0.3136534893950695,0.1398801102216689,0.08867366498345997,0.27646846153846155,3.06,66.15,False,0.27646846153846155,3.06,66.15,False
"Develop pricing strategies, balancing firm objectives and customer satisfaction.",develop pricing strategies balancing firm objectives and customer satisfaction,11-2021.00,Marketing Managers,marketing managers,Core,117.0,Incumbent,1.0,0.0023417653034361963,0.0030325560578443583,Management Occupations,2.0,77.42,161030.0,65.0,135190.0,384980.0,6560.0,61.9,128750.0,84.184,175100.0,52.68,109570.0,71.6448,149015.2,192890.0,1670.0,0.24968321013042702,0.3136534893950695,0.1398801102216689,0.08867366498345997,0.4226676923076923,3.87,71.63,False,0.4226676923076923,3.87,71.63,False
"Integrate environmental information into product or company marketing strategies, policies, or activities.",integrate environmental information into product or company marketing strategies policies or activities,11-2021.00,Marketing Managers,marketing managers,Supplemental,116.0,Incumbent,1.0,0.002422515831140928,0.003137126956390761,Management Occupations,2.0,77.42,161030.0,65.0,135190.0,384980.0,6560.0,61.9,128750.0,84.184,175100.0,52.68,109570.0,71.6448,149015.2,192890.0,1670.0,0.24968321013042702,0.3136534893950695,0.1398801102216689,0.08867366498345997,0.1074,2.59,46.94,False,0.1074,2.59,46.94,False
Initiate market research studies or analyze their findings.,initiate market research studies or analyze their findings,11-2021.00,Marketing Managers,marketing managers,Core,116.0,Incumbent,1.0,0.003956775857530201,0.0051239740287716004,Management Occupations,2.0,77.42,161030.0,65.0,135190.0,384980.0,6560.0,61.9,128750.0,84.184,175100.0,52.68,109570.0,71.6448,149015.2,192890.0,1670.0,0.24968321013042702,0.3136534893950695,0.1398801102216689,0.08867366498345997,0.3218734615384615,3.4,88.47,False,0.3218734615384615,3.4,88.47,False
"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.",confer with legal staff to resolve problems such as copyright infringement or royalty sharing with outside producers or distributors,11-2021.00,Marketing Managers,marketing managers,Core,115.0,Incumbent,1.0,0.00427977796834897,0.005542257622957007,Management Occupations,2.0,77.42,161030.0,65.0,135190.0,384980.0,6560.0,61.9,128750.0,84.184,175100.0,52.68,109570.0,71.6448,149015.2,192890.0,1670.0,0.24968321013042702,0.3136534893950695,0.1398801102216689,0.08867366498345997,0.08650961538461538,3.14,67.35,False,0.08650961538461538,3.14,67.35,False
"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",formulate direct or coordinate marketing activities or policies to promote products or services working with advertising or promotion managers,11-2021.00,Marketing Managers,marketing managers,Core,117.0,Incumbent,1.0,0.011870327572590681,0.015371922086314903,Management Occupations,2.0,77.42,161030.0,65.0,135190.0,384980.0,6560.0,61.9,128750.0,84.184,175100.0,52.68,109570.0,71.6448,149015.2,192890.0,1670.0,0.24968321013042702,0.3136534893950695,0.1398801102216689,0.08867366498345997,2.2904203846153846,4.24,98.22,False,2.2904203846153846,4.24,98.22,False
"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",evaluate the financial aspects of product development such as budgets expenditures research and development appropriations or returnoninvestment and profitloss projections,11-2021.00,Marketing Managers,marketing managers,Core,116.0,Incumbent,1.0,0.0022610147757315432,0.002927985159298057,Management Occupations,2.0,77.42,161030.0,65.0,135190.0,384980.0,6560.0,61.9,128750.0,84.184,175100.0,52.68,109570.0,71.6448,149015.2,192890.0,1670.0,0.24968321013042702,0.3136534893950695,0.1398801102216689,0.08867366498345997,0.6194011538461538,3.99,81.95,False,0.6194011538461538,3.99,81.95,False
"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",identify develop or evaluate marketing strategy based on knowledge of establishment objectives market characteristics and cost and markup factors,11-2021.00,Marketing Managers,marketing managers,Core,117.0,Incumbent,1.0,0.0020995137203221586,0.0027188433622053537,Management Occupations,2.0,77.42,161030.0,65.0,135190.0,384980.0,6560.0,61.9,128750.0,84.184,175100.0,52.68,109570.0,71.6448,149015.2,192890.0,1670.0,0.24968321013042702,0.3136534893950695,0.1398801102216689,0.08867366498345997,1.5720896153846153,4.3,98.32,False,1.5720896153846153,4.3,98.32,False
"Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.",recommend modifications to products packaging production processes or other characteristics to improve the environmental soundness or sustainability of products,11-2021.00,Marketing Managers,marketing managers,Supplemental,116.0,Incumbent,1.0,0.0019380126649126955,0.002509701565112548,Management Occupations,2.0,77.42,161030.0,65.0,135190.0,384980.0,6560.0,61.9,128750.0,84.184,175100.0,52.68,109570.0,71.6448,149015.2,192890.0,1670.0,0.24968321013042702,0.3136534893950695,0.1398801102216689,0.08867366498345997,0.16541,3.12,48.28,False,0.16541,3.12,48.28,False
